Unit ID,Firm Name,Owner Name,Location
102703,Rashpal Singh Saw Mill,Rashpal Singh,Hoshiarpur
102705,S.S. WOOD WORKS,ASHU TOSH BERI,Hoshiarpur
102764,Santokh Saw Mill,Ashwani Kumar,Hoshiarpur
102765,Harjinder Singh Saw Mill,Harjinder Singh,Hoshiarpur
102768,Joshi Saw Mill & Floor Mill,Sanjay Joshi,Hoshiarpur
102813,Roop Lal Saw Mill,Roop Lal,Hoshiarpur
102852,laxmi saw mill,Jasvir Singh,Hoshiarpur
102863,Makhan Lal Industry,Makhan Lal ,Hoshiarpur
102868,SANTOKH AND JAGIR SAW MILL,SANTOKH SINGH AND JAGIR,Hoshiarpur
102880,M.L Katha Udyog,Mohan Lal,Hoshiarpur
102893,Mahay Saw Mill,Mahay Saw Mill,Hoshiarpur
102907,Joginder Singh Saw Mill,Joginder Singh ,Hoshiarpur
102910,Surinder Saw Mill,Surinder Singh,Hoshiarpur
102921,Satnam Saw Mill,Satnam Singh,Hoshiarpur
102922,M/S KULWANT SAW MILL,KULWANT SINGH,Hoshiarpur
102989,Manmohan Saw & Flour Mill,Manmohan Singh,Hoshiarpur
102993,Khurana Furniture House,,Ram Lal Khurana,Hoshiarpur
102994,JAGDISH RAI SAW MILL,NARINDER KUMAR,Hoshiarpur
103018,Satish Saw Mill,Satish Kumar,Hoshiarpur
103019,Bakshish Singh Saw Mill,Bakhsis Singh,Hoshiarpur
103031,Dadwal Timber,Mohan Singh,Hoshiarpur
103032,Nagar Mall Saw Mill,Nagar Mall,Hoshiarpur
103038,Mahant Jaswant Singh Saw Mill,Mahant Jaswant Singh,Hoshiarpur
103039,Baj Saw Mill,Baaz Singh,Hoshiarpur
103046,Jhingar Saw Mill,Ashwani Kumar,Hoshiarpur
103050,Smt Surinder kaur saw mill,Surinder Kaur,Hoshiarpur
103056,Narindra Saw Mill,Narinder Singh,Hoshiarpur
103057,Ranjit Singh Sandal Saw Mill,Ranjit Singh Sandal,Hoshiarpur
103058,Ram Kishan Saw Mill,Ram Kishan,Hoshiarpur
103059,Balwinder Lal Saw Mill,Balwinder Lal,Hoshiarpur
103060,Darshan Singh Saw Mill,Darshan Singh,Hoshiarpur
103081,M/s Wassan Saw Mill,Jagdish Singh & Paramjit Singh,Hoshiarpur
103140,KRISHNA TIMBER TRADERS,RAJESH KUMAR,Hoshiarpur
103141,Ms atoz saw mill,abc,Hoshiarpur
103144,Ms atoz saw mill,abc,Hoshiarpur
103149,M/s Balwinder Singh Saw Mill,M/s Balwinder Singh Saw Mill,Hoshiarpur
103161,M/s Nazar Singh Saw Mill,M/s Nazar Singh Saw Mill,Hoshiarpur
103164,M/s Ram Lal Saw Mill,M/s Ram Lal Saw Mill,Hoshiarpur
103165,M/s Raj Kumar Saw Mill,M/s Raj Kumar Saw Mill,Hoshiarpur
103177,M/s Amrik and Daljit Saw Mill,M/s Amrik and Daljit Saw Mill ,Hoshiarpur
103178,M/s Amrik and Daljit Saw Mill,M/s Amrik and Daljit Saw Mill ,Hoshiarpur
103238,Suraj Parkash Saw Mill,Suraj Parkash,Hoshiarpur
103310,M/s Raj Kumar Saw Mill,M/s Raj Kumar Saw Mill,Hoshiarpur
103342,Bhajan Saw Mill,Sh Bhajan Singh,Hoshiarpur
103428,Thakur Saw Mill,Bikram Singh,Hoshiarpur
103641,M/s Guru Nanak Timber Store,Paramjit Singh,Hoshiarpur
103732,M/s Iqwal Singh,M/s Eqwal Singh,Hoshiarpur
103945,Rajesh Kumar Saw Mill,Rajesh Kumar,Hoshiarpur
103958,Jain Wood Works,Nand Kishore Jain,Hoshiarpur
103987,Sawan Wood Works,Jatin  Gupta,Hoshiarpur
103988,RAYAT SAW MILL,Baldev Singh,Hoshiarpur
104100,CHARANJIT SINGH S/O MORA SINGH,charanjit singh,Hoshiarpur
104101,Karnail Singh Flour & Saw Mill,Karnail Singh,Hoshiarpur
104106,Charanjit singh S/o mora singh,charanjit singh,Hoshiarpur
104114,Charanjit singh S/o mora singh,N/A,Hoshiarpur
104165,SUKHWINDER RAM ALIAS SUKHWINDER SINGH SANDHU,SUKHWINDER SINGH SANDHU,Hoshiarpur
104254,Suresh Kumar Saw Mill,Suresh Kumar,Hoshiarpur
104287,Kishori Saw Mill,Kishori Lal,Hoshiarpur
104318,M/S KULWANT SAW MILL,KULWANT SINGH,Hoshiarpur
104343,M/s M B R Herbal,Raman Dogra,Hoshiarpur
104358,CHADHA SAW MILL,TARLOCHAN SINGH,Hoshiarpur
104364,Satnam Saw Mill,satnam saw mill,Hoshiarpur
104373,Harjit singh Saw Mill,Sandeep Singh,Hoshiarpur
104387,M/s Eqwal Singh,M/s Eqwal Singh,Hoshiarpur
104477,HARBHAJAN SAW MILL,AMARJIT SINGH,Hoshiarpur
104486,bagga saw mill,N/A,Hoshiarpur
104497,KAILASH UDYOG,GUNJAN BANSAL,Hoshiarpur
300039,M/S GIAN SINGH BHAJAN SINGH SAW MILLS,N/A,Hoshiarpur
300040,Kuldeep Singh Saw Mill,N/A,Hoshiarpur
300043,Ravinder Saw Mill,N/A,Hoshiarpur
300044,M/S GIAN SINGH BHAJAN SINGH SAW MILLS,N/A,Hoshiarpur
300049,Pawan Kumar Saw Mill,N/A,Hoshiarpur
300059,Kuldeep Singh Saw Mill,N/A,Hoshiarpur
300079,Pritpal Singh,N/A,Hoshiarpur
300081,Jagir Singh,N/A,Hoshiarpur
300113,Dashmesh Saw Mill Timber Store,N/A,Hoshiarpur
300210,Majhel Singh Saw mill,N/A,Hoshiarpur
300230,Harjit Singh Saw Mill,N/A,Hoshiarpur
300246,M/s Pawan KumarSaw Mill,N/A,Hoshiarpur
300271,New Sharma Saw and Timber Merchant,N/A,Hoshiarpur
300272,M/s Vishkarma Saw Mill,N/A,Hoshiarpur
302330,Rattan Saw Mill,N/A,Hoshiarpur
302331,Raghbir Chand Saw Mill,N/A,Hoshiarpur
302373,DIDDAR SINGH SAW MILL,N/A,Hoshiarpur
302377,Kartar Saw Mill,N/A,Hoshiarpur
302381,PANESAR SAW MILL,N/A,Hoshiarpur
302389,PANESAR SAW MILL,N/A,Hoshiarpur
302414,Kashmir Singh Saw Mill,N/A,Hoshiarpur
302531,Harbhajan Saw Mill,N/A,Hoshiarpur
302624,SOHAN LAL SAW MILL,N/A,Hoshiarpur
302631,Onkar Singh Saw Mill,N/A,Hoshiarpur
302662,Charanjit singh s/o mora singh,N/A,Hoshiarpur
302664,Charanjit singh s/o mora singh,N/A,Hoshiarpur
302670,Charanjit singh s/o mora singh,N/A,Hoshiarpur
302716,SOHAN LAL SAW MILL,N/A,Hoshiarpur
302717,Phoola Singh Saw Mill ,N/A,Hoshiarpur
400016,Roop Lal Saw Mill,N/A,Hoshiarpur
400019,Kuldeep Singh Saw Mill,N/A,Hoshiarpur
400033,Kuldeep Singh Saw Mill,N/A,Hoshiarpur
