Unit ID,Firm Name,Owner Name,Location
N/A,Timber Traders,Rajiv Kumar,Timber Traders, Vill. Ghasipur,, Near R.K Kanda, Hariana Road, Vill. Ghasipur - 146001
N/A,Radha Timber Store,Sunita Rani,Near Sunder Petrol Pump,, Mour Road,, Rampura Phul, Rampura Phul - 151103
N/A,Khullar Trading Company,Bimal Rai Khullar,Village Chohal, Distt. Hoshiarpur, VILLAGE - 146001
N/A,xyz,xyz,xyz, xyz, xyz, PATIALA - 147001
N/A,xyz,xyz,xyz, xyz, xyz, PATIALA - 147001
N/A,Kochar Timber ,Manpreet Singh,Safabadi Gate , Lakkar Mandi , Patiala, Patiala - 147001
N/A,Dhiman Saw mills ,Anjana Kumari,Village Maira  P.O Mutfarka Tehsil & District Pathankot, Village Maira  P.O Mutfarka Tehsil & District Pathankot, Village Maira  P.O Mutfarka Tehsil & District Pathankot, Baroi  - 145001
N/A,Dhiman Saw Mills,Anjana Kumari,Village Maira P.O. Mutfarka Tehsil & District Pathankot , Village Maira P.O. Mutfarka Tehsil & District Pathankot , Village Maira P.O. Mutfarka Tehsil & District Pathankot , Maira - 145023
N/A,Kewal Krishan & Sons ,Kewal Krishan ,Village Phangrian P.O. Jhakolahri  Tehsil & District Pathankot, Village Phangrian P.O. Jhakolahri  Tehsil & District Pathankot, Village Phangrian P.O. Jhakolahri  Tehsil & District Pathankot, Phangrian - 145025
N/A,Sukhdev Singh & Sons ,Sukhdev Singh,Dhangu Road, Sunder Nagar Pathankot  , Dhangu Road, Sunder Nagar Pathankot  , Dhangu Road, Sunder Nagar Pathankot  , Sunder Nagar  - 145001
N/A,Harbhajan Saw Mill ,Harbhajan Singh,W.No-1, Village Miani, Tehsil Dasuya, Miani/Dasuya - 144202
N/A,Mohan agro Tech.,Harpreet Singh,Vill-Ghalori, Teh.-Patiala, patiala - 147001
N/A,Bawandeep Saw Mill,Bawandeep ,village Bhatmajra , Fatehgharh sahib, Punjab, Bhatmajra - 140406
N/A,Shamsher Saw Mill,Shamsher Singh,Village Bela Sariana, Tehsil Mukerian, Bela Sariana/Mukerian - 144221
N/A,Thakur Saw Mill,Vishal Singh,VPO Dadial, Tehsil Dasuya, District Hoshiarpur, Dadial - 144223
N/A,Abhishek Traders ,Mangal Singh ,VPO Ranipur Jhikla  Tehsil & District Patahnkot                                                                                                                                                                                                             , VPO Ranipur Jhikla  Tehsil & District Patahnkot  , VPO Ranipur Jhikla  Tehsil & District Patahnkot  , Ranipur Jhikla - 145023
N/A,MANJINDER SINGH,MANJINDER SINGH,ADDA BEHRAMPUR, GAHLRI ROAD, GURDASPUR 143532, ADDA BEHRAMPUR, GAHLRI ROAD, GURDASPUR 143532, BEHRAMPUR - 143532
N/A,K.K. Crafts,Kunal Khullar,Chohal, Chohal, Chohal, Chohal - 146001
N/A,K.K. Crafts,Kunal Khullar,Chohal, Chohal, Chohal, Chohal - 146001
N/A,Vishawkarma Saw Mills ,Mohinder Pal,Village Shahpurkandi Teh & District Pathankot , Village Shahpurkandi Teh & District Pathankot , Village Shahpurkandi Teh & District Pathankot , Shahpurkandi  - 145001
N/A,M/s Dhiman Timber Store,Raj Kumar,Kaithal Raod , Shergarh,Teh.Patran, Distt.Patiala, Sherghar,Patran - 147105
N/A,M/s Dhiman Timber Store,Raj Kumar,Kaithal Raod , Shergarh,Teh.Patran, Distt.Patiala, Sherghar,Patran - 147105
N/A,Sohan Lal Saw Mill,Ram Singh,PO Bhekwal, Dasuya Road, Jalalpur - 146001
N/A,Sohan Lal Saw Mill,Ram Singh,Village Jalalpur, Dasuya Road, HSP, Hoshiarpur - 146001
N/A,M/s Smayara Saw Mill,Sukhdeep Kumar,Village Baghora , Teh.  Ghanour, Distt. Patiala, Village Baghora - 140702
N/A,Vishawkarma Saw Mills ,Mohinder Pal,Village Badoi, Tehsil & District Pathankot , Badoi - 145001
N/A,HARMAN SAW MILLS,HARMESH LAL,VILL JIVANPUR GUJJRAN, PO. KITNA, TEHSIL GARHSHANKAR, VILLAGE JIVANPUR GUJJRAN - 144531
N/A,Palwinder Singh Fauji Saw Mills,Sukhvinder Singh,Deep Nagar, Phagwara road Hoshiarpur, hoshiarpur, HOSHIARPUR - 146001
